いきます、いく ikimasu, iku	Ir
きます、くる kimasu, kuru	Venir
かえります、かえる kaerimasu, kaeru	Volver, Regresar, Ir a casa
がっこう gakkou	Escuela
スーパー su-pa-	Supermercado
えき eki	Estacion de trenes
ひこうき hikouki	Avion
ふね fune	Buque, Barco
でんしゃ densha	Tren electrico
ちかてつ chikatetsu	Metro, Subterranio
しんかんせん shinkansen	Tren bala
バス basu	Bus, Camion
タクシー takushi-	Taxi
じてんしゃ jitensha	Bicicleta
あるいて aruite	A pie, Caminando
ひと hito	Persona
ともだち tomodachi	Amigo
かれ kare	El, Novio
かのじょ kanojo	Ella, Novia
かぞく kazoku	Familia
ひとりで hitoride	Solo
せんしゅう senshuu	La semana pasada
こんしゅう konshuu	Esta semana
らいしゅう raishuu	La semana que viene
せんげつ sengetsu	El mes pasado
こんげつ kongetsu	Este mes
らいげつ raigetsu	El me que viene
きょねん kyonen	El año pasado
ことし kotoshi	Este año
らいねん rainen	El año que viene
～がつ ~gatsu	~mes
なんがつ nangatsu	Que mes
ついたち tsuitachi	El primer dia del mes
ふつか futsuka	El dia 2, 2 dias
みっか mikka	El dia tres, 3 dias
よっか yokka	El dia cuatro, 4 dias
いつか itsuka	El dia cinco, 5 dias
むいか muika	El dia seis, 6 dias
たのか tanoka	El dia siete, 7 dias
ようか youka	El dia ocho, 8 dias
ここのか kokonoka	El dia nueve, 9 dias
とおか tooka	El dia diez, 10 dias
じゅうよっか juuyokka	El dia catorce, 14 dias
はつか hatsuka	El dia veinte, 20 dias
にじゅうよっか nijuuyokka	El dia veinticuatro, 24 dias
～にち ~nichi	~dia del mes, ~dias
なんにち nannichi	Que dia del mes, cuantos dias
いつ itsu	Cuando
たんじょうび tanjoubi	Cumpleaños
ふつう futsuu	Tren local
きゅうこう kyuukou	Tren rapido
とっきゅう tokkyuu	Tren express
つぎの tsugino	Proximo, Siguiente
どういたしまして。 douitashimashite.	De nada, No hay de que
～ばんせん ~bansen	Anden~, Plataforma~
