おもいます、おもう	思う	Pensar
かえります、かえる	帰る	Regresar
もどります、もどる	戻る	Regresar
つきます、つく	付く	Prenderse(la luz), Ser puesto, (ambos intransitivo)
つけます、つける	付ける	Prender(la luz), Poner (ambos transitivo)
すっかり	Todo ello, Sin dejar residuo
せんたく	選択	Seleccion, Eleccion
せんたくじゅぎょう	選択授業	Clase optativa
せんたく	洗濯	Lavado de ropa
はる	春	Primavera
せいしゅん	青春	Memoria de juventud
そうしゅん	早春	Principios de la primavera
なつ	夏	Verano
れいか	冷夏	Verano helado
しょか	初夏	Principios del verano
あき	秋	Otoño
さくしゅう	昨秋	Otoño del año pasado
ばんしゅう	晩秋	Finales de otoño
ふゆ	冬	Invierno
だんとう	暖冬	Invierno calido
とうみん	冬眠	Hibernacion
さきます、さく	咲く	Florecer (intransitivo)
よる	夜	Noche
よるごはん	夜ご飯	Comida despues de la cena
やしょく	夜食	Comida despues de la cena (formal)
ゆうしょく	夕食	Cena (formal)
ばんめし	晩飯	Cena (informal)
いぬ	犬	Perro
ぼく	僕	Yo (informal)
は	歯	Diente
はみがき	歯磨き	Lavado de dientes
なか	仲	Relacion
なかなおり	仲直り	Reconciliacion
にく	肉	Carne
じゃがいも	じゃが芋	Patata
にくじゃが	肉じゃが	Guiso de carne y papas
ほうちょう	包丁	Cuchillo cocina
ナイフ	Cuchillo
にんじん	人参	Zanahoria
たまねぎ	玉ねぎ	Cebolla
あな	穴	Hoyo, Agujero, Hueco
まないた	まな板	Tabla de cortar
やさい	野菜	Verduras
にます、にる	煮る	Cocer a fuego lento
あじ	味	Sabor
ようちえんじ	幼稚園児	niño de kinder
かふん	花粉	Polen
かふんしょう	花粉症	Alergia al polen
のうえん	農園	Granja, Plantacion
しぜんかい	自然界	Mundo de la naturaleza
みつばち、ミツバチ	蜜蜂	Abeja
み	実	Fruto y semilla de plantas
くだもの	果物	Fruta
えがお	笑顔	Sonrisa, Cara sonriente
みせいねん	未成年	Menor de edad
せいじん	成人	Mayor de edad
はんたい	反対	Opuesto, Inverso、Oponerse a una opinion
さんせい	賛成	Estar de acuerdo con la opinion de otra persona
ぎむ	義務	Obligacion
み	身	Cuerpo
みのまわり	身の回り	Cosas que ocurren en la vida cotidiana, Objeto puesto o que se tenga cerca a diario.
ざいさん	財産	Propiedad, Los bienes, Riqueza
ちしき	知識	Conocimientos
しんけん	親権	Responsabilidades parentales, Patria potestad
きょうどうしんけん	共同親権	Custodia compartida
たんどくしんけん	単独親権	Custodia exclusiva
おや	親	Papa/Mama/Padres
りょうしん	両親	Padres
おせわ	お世話	Ayuda, Cuidado
かんり	管理	Administracion, Gestion
～にかわる	～に代わる	En vez de 
さまざま	様々	Diverso, Varios
ほうりつ	法律	Ley
みのぽう	民法	Ley civil
けっこん	結婚	Matrimonio
りこん	離婚	Divorcio
さだめます、さだめる	定める	Decidir
だいり	代理	Encargarse de asuntos (especialmente deberes) en nombre de otra persona, Representativo, Proxy, Subrogado
